country,power
Aruba (Neth.),4.96
Afghanistan,5.02
Angola,4.66
Albania,4.04
Andorra,4.2
United Arab Emirates,5
Argentina,4.6
Armenia,4.11
American Samoa (U.S.),3.98
Antigua and Barbuda,4.77
Australia,4.71
Austria,3.26
Azerbaijan,3.82
Burundi,4.17
Belgium,2.92
Benin,4.2
Burkina Faso,4.57
Bangladesh,3.88
Bulgaria,3.7
Bahrain,4.87
The Bahamas,4.55
Bosnia and Herzegovina,3.57
Belarus,2.95
Belize,4.18
Bermuda (U.K.),4.18
Bolivia,4.94
Brazil,4.4
Barbados,4.72
Brunei Darussalam,3.9
Bhutan,3.92
Botswana,5.11
Central African Republic,4.47
Canada,3.82
Switzerland,3.36
Chile,5.36
China,3.88
Côte d'Ivoire,4
Cameroon,4.28
"Congo, Dem. Rep.",4.26
Congo,3.77
Colombia,4.05
Comoros,4.29
Cabo Verde,4.68
Costa Rica,4.09
Cuba,4.54
Curaçao (Neth.),4.83
Cayman Islands (U.K.),4.63
Cyprus,4.7
Czech Republic,3.05
Germany,2.96
Djibouti,4.8
Dominica,3.97
Denmark,2.84
Dominican Republic,4.57
Algeria,4.92
Ecuador,3.4
"Egypt, Arab Rep.",5.25
Eritrea,4.89
Spain,4.41
Estonia,2.84
Ethiopia,4.7
Fiji,3.82
France,3.39
Federated States of Micronesia,3.89
Gabon,3.6
United Kingdom,2.61
Georgia,3.71
Ghana,4.02
Guinea,4.44
The Gambia,4.57
Guinea-Bissau,4.46
Equatorial Guinea,3.67
Greece,4.14
Grenada,4.45
Guatemala,4.39
Guam (U.S.),4.53
Guyana,4.2
"Hong Kong, SAR",3.27
Honduras,4.26
Croatia,3.63
Haiti,4.68
Hungary,3.44
Indonesia,3.77
Isle of Man (U.K.),2.76
India,4.32
Ireland,2.51
"Iran, Islamic Rep.",4.92
Iraq,4.68
Israel,5.08
Italy,3.99
Jamaica,4.39
Jordan,5.32
Japan,3.45
Kazakhstan,3.69
Kenya,4.5
Kyrgyz Republic,4.11
Cambodia,4.13
Kiribati,4.82
Saint Kitts and Nevis,4.65
"Korea, Rep.",3.82
Kuwait,4.82
Lao People's Democratic Republic,3.87
Lebanon,4.83
Liberia,3.88
Libya,5.12
Saint Lucia,4.52
Liechtenstein,3.25
Sri Lanka,4.21
Lesotho,5.13
Lithuania,2.87
Luxembourg,2.95
Latvia,2.85
"Macau, SAR",3.4
Morocco,5.01
Moldova,3.45
Madagascar,4.76
Maldives,4.44
Mexico,4.92
Marshall Islands,4.24
North Macedonia,3.88
Mali,4.68
Malta,4.56
Myanmar,4.14
Montenegro,3.82
Mongolia,4.76
Northern Mariana Islands (U.S.),4.65
Mozambique,4.44
Mauritania,4.75
Mauritius,4.21
Malawi,4.6
Malaysia,3.74
Namibia,5.38
New Caledonia (Fr.),3.98
Niger,4.84
Nigeria,4.3
Nicaragua,4.11
Netherlands,2.86
Norway,2.76
Nepal,4
Nauru,4.65
New Zealand,3.68
Oman,5.17
Pakistan,4.71
Panama,3.97
Peru,4.9
Philippines,3.93
Palau,4.01
Papua New Guinea,3.69
Poland,2.98
Puerto Rico (U.S.),4.4
D. P. R. of Korea,3.92
Portugal,4.32
Paraguay,4.28
West Bank and Gaza,4.93
French Polynesia (Fr.),4.39
Qatar,4.92
Romania,3.52
Russian Federation,3.36
Rwanda,4.1
Saudi Arabia,5.16
Sudan,4.94
Senegal,4.58
Singapore,3.55
Solomon Islands,3.69
Sierra Leone,4.09
El Salvador,4.83
San Marino,3.76
Somalia,4.76
Serbia,3.52
South Sudan,4.46
São Tomé and Príncipe,3.47
Suriname,4.27
Slovakia,3.27
Slovenia,3.43
Sweden,2.84
Eswatini,4.32
Sint Maarten (Neth.),4.87
Seychelles,4.35
Syrian Arab Republic,4.85
Turks and Caicos Islands (U.K.),4.72
Chad,4.84
Togo,4.12
Thailand,4.06
Tajikistan,4.34
Turkmenistan,4.37
Timor-Leste,4.34
Tonga,4.01
Trinidad and Tobago,4.35
Tunisia,4.74
Turkey,4.32
Tuvalu,4.27
Tanzania,4.51
Uganda,4.46
Ukraine,3.3
Uruguay,4.3
United States,4.36
Uzbekistan,4.27
Saint Vincent and the Grenadines,4.27
"Venezuela, RB",4.35
British Virgin Islands (U.K.),4.85
United States Virgin Islands (U.S.),4.75
Vietnam,3.55
Vanuatu,3.53
Samoa,4.05
Kosovo,3.7
Republic of Yemen,5.21
South Africa,5
Zambia,4.83
Zimbabwe,4.86
